stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,location_type,parent_station,wheelchair_boarding,stop_timezone
72861,116th Ave NE & NE 34th St,47.640175,-122.185463,,,19,,,,America/Los_Angeles
72864,116th Ave NE & NE 34th St,47.640324,-122.185669,,,19,,,,America/Los_Angeles
72869,150th Ave SE & SE 38th St,47.575256,-122.140083,,,19,,,,America/Los_Angeles
72871,150th Ave SE & SE 38th St,47.575100,-122.140335,,,19,,,,America/Los_Angeles
72872,150th Ave SE & SE Newport Way,47.570610,-122.141441,,,19,,,,America/Los_Angeles
72873,150th Ave SE & SE Newport Way,47.570931,-122.141205,,,19,,,,America/Los_Angeles
72874,148th Ave SE & SE 45th Pl,47.565647,-122.142914,,,19,,,,America/Los_Angeles
72875,148th Ave SE & SE 46th St,47.565460,-122.142708,,,19,,,,America/Los_Angeles
72876,Highland Dr & 147th Pl SE,47.562256,-122.144173,,,19,,,,America/Los_Angeles
72877,Highland Dr & 147th Pl SE,47.562248,-122.143791,,,19,,,,America/Los_Angeles
72878,Highland Dr & Somerset Blvd SE,47.560635,-122.149597,,,19,,,,America/Los_Angeles
72879,Somerset Blvd SE & Highland Dr,47.560474,-122.149689,,,19,,,,America/Los_Angeles
72880,150th Ave SE & SE Eastgate Way,47.581276,-122.141586,,,19,,,,America/Los_Angeles
72881,Somerset Blvd SE & 143rd Ave SE,47.562481,-122.151955,,,19,,,,America/Los_Angeles
72882,Somerset Blvd SE & 143rd Ave SE,47.562202,-122.151779,,,19,,,,America/Los_Angeles
72884,Somerset Blvd SE & Somerset Ln,47.562679,-122.155922,,,19,,,,America/Los_Angeles
72885,Somerset Blvd SE & SE 44th St,47.566662,-122.158867,,,19,,,,America/Los_Angeles
72886,Somerset Blvd SE & SE 43rd St,47.569130,-122.159637,,,19,,,,America/Los_Angeles
72887,Somerset Blvd SE & SE 43rd St,47.569035,-122.159813,,,19,,,,America/Los_Angeles
72888,Somerset Blvd SE & SE 44th St,47.566563,-122.159035,,,19,,,,America/Los_Angeles
72889,Somerset Blvd SE & Somerset Ln,47.562412,-122.156532,,,19,,,,America/Los_Angeles
72892,151st Ave SE & SE 49th St,47.558491,-122.139229,,,19,,,,America/Los_Angeles
72893,150th Ave SE & SE 46th Way,47.563126,-122.140602,,,19,,,,America/Los_Angeles
72896,148th Ave SE & SE 55th St,47.553181,-122.142174,,,19,,,,America/Los_Angeles
72897,151st Ave SE & SE 49th St,47.558639,-122.139114,,,19,,,,America/Los_Angeles
72932,NE 8th St & 98th Ave NE,47.617504,-122.210175,,,19,,,,America/Los_Angeles
72940,NE 8th St & 92nd Ave NE,47.617493,-122.217339,,,19,,,,America/Los_Angeles
72950,Lake Washington Blvd NE & NE 10th St,47.619343,-122.221817,,,19,,,,America/Los_Angeles
72960,NE 12th St & 84th Ave NE,47.621101,-122.227760,,,19,,,,America/Los_Angeles
72970,84th Ave NE & NE 20th St,47.628494,-122.227798,,,19,,,,America/Los_Angeles
72980,84th Ave NE & NE 24th St,47.632366,-122.227783,,,19,,,,America/Los_Angeles
72983,Kelsey Creek Rd & Tye River Rd,47.585541,-122.148422,,,19,,,,America/Los_Angeles
72984,Kelsey Creek Rd & Tye River Rd,47.585644,-122.148186,,,19,,,,America/Los_Angeles
73010,84th Ave NE & NE 24th St,47.632755,-122.227989,,,19,,,,America/Los_Angeles
73020,84th Ave NE & NE 20th St,47.628204,-122.228004,,,19,,,,America/Los_Angeles
73030,NE 12th St & 84th Ave NE,47.620968,-122.227592,,,19,,,,America/Los_Angeles
73040,NE 1st St & Lake Washington Blvd NE,47.618896,-122.221436,,,19,,,,America/Los_Angeles
73042,NE 8th St & 92nd Ave NE,47.617359,-122.217293,,,19,,,,America/Los_Angeles
73044,NE 8th St & 94th Ave NE,47.617363,-122.214287,,,19,,,,America/Los_Angeles
73047,116th Ave NE & NE 24th St,47.630280,-122.185738,,,19,,,,America/Los_Angeles
73048,NE 8th St & 98th Ave NE,47.617371,-122.209984,,,19,,,,America/Los_Angeles
73049,NE 8th St & 106th Ave NE,47.617351,-122.199196,,,19,,,,America/Los_Angeles
73051,116th Ave NE & NE 12th St,47.624668,-122.185768,,,19,,,,America/Los_Angeles
73054,116th Ave NE & NE 12th St,47.624809,-122.185562,,,19,,,,America/Los_Angeles
73055,116th Ave NE & NE 12th St,47.622490,-122.185577,,,19,,,,America/Los_Angeles
73056,116th Ave NE & NE 21st St,47.630142,-122.185532,,,19,,,,America/Los_Angeles
73059,NE 40th St & 156th Ave NE,47.646118,-122.130539,,,19,,,,America/Los_Angeles
73077,NE 40th St & NE Bel-Red Rd,47.646149,-122.115044,,,19,,,,America/Los_Angeles
73079,NE 40th St & 158th Way NE,47.646137,-122.127586,,,19,,,,America/Los_Angeles
73080,150th Ave SE & SE Eastgate Way,47.580956,-122.141701,,,19,,,,America/Los_Angeles
73082,SE 46th Way & 151st Pl SE,47.562500,-122.137589,,,19,,,,America/Los_Angeles
73084,SE 46th Way & 154th Pl SE,47.563080,-122.133751,,,19,,,,America/Los_Angeles
73086,SE 46th Way & 159th Ave SE,47.562694,-122.129227,,,19,,,,America/Los_Angeles
73088,SE 46th Way & 161st Ave SE,47.563049,-122.125145,,,19,,,,America/Los_Angeles
73089,NE 40th St & 163rd Ave NE,47.645992,-122.122696,,,19,,,,America/Los_Angeles
73092,NE 40th St & NE Bel-Red Rd,47.646015,-122.114433,,,19,,,,America/Los_Angeles
73095,NE Redmond Way & Willows Rd NE,47.675083,-122.137177,,,19,,,,America/Los_Angeles
73100,NE Redmond Way & 149th Pl NE,47.675179,-122.139786,,,19,,,,America/Los_Angeles
73106,NE Redmond Way & 145th Ave NE,47.674988,-122.146729,,,19,,,,America/Los_Angeles
73108,148th Ave NE & NE 87th St,47.680763,-122.145226,,,19,,,,America/Los_Angeles
73110,148th Ave NE & NE Redmond Way,47.674412,-122.143227,,,19,,,,America/Los_Angeles
73112,NE Redmond Way & 140th Ave NE,47.676651,-122.153679,,,19,,,,America/Los_Angeles
73130,148th Ave NE & NE Old Redmond Rd,47.667126,-122.143295,,,19,,,,America/Los_Angeles
73152,148th Ave NE & NE 61st St,47.661930,-122.143417,,,19,,,,America/Los_Angeles
73167,NE 51st St & 148th Ave NE,47.654862,-122.142120,,,19,,,,America/Los_Angeles
73168,NE 51st St & 154th Ave NE,47.654022,-122.135033,,,19,,,,America/Los_Angeles
73188,NE 51st St & 154th Ave NE,47.654156,-122.134995,,,19,,,,America/Los_Angeles
73227,NE 83rd St & 161st Ave NE - Bay 1,47.676594,-122.124924,,,19,,,,America/Los_Angeles
73240,148th Ave NE & NE 51st St,47.654659,-122.143463,,,19,,,,America/Los_Angeles
73243,148th Ave NE & NE 46th St,47.652008,-122.143433,,,19,,,,America/Los_Angeles
73246,148th Ave NE & NE 43rd Pl,47.648048,-122.143242,,,19,,,,America/Los_Angeles
73248,148th Ave NE & NE 40th St,47.645679,-122.143143,,,19,,,,America/Los_Angeles
73250,148th Ave NE & NE 37th Pl,47.644085,-122.143158,,,19,,,,America/Los_Angeles
73260,148th Ave NE & NE 35th St,47.642654,-122.143158,,,19,,,,America/Los_Angeles
73282,148th Ave NE & NE 32nd St,47.638592,-122.143188,,,19,,,,America/Los_Angeles
73284,NE 29th Pl & 148th Ave NE,47.636231,-122.143661,,,19,,,,America/Los_Angeles
73286,NE 29th Pl & NE 28th St,47.634903,-122.144386,,,19,,,,America/Los_Angeles
73300,148th Ave NE & NE 29th Pl,47.637081,-122.142845,,,19,,,,America/Los_Angeles
73310,148th Ave NE & NE 31st St,47.639431,-122.142815,,,19,,,,America/Los_Angeles
73340,148th Ave NE & NE 37th Pl,47.643753,-122.142776,,,19,,,,America/Los_Angeles
73342,148th Ave NE & NE 40th St,47.646919,-122.142815,,,19,,,,America/Los_Angeles
73350,148th Ave NE & NE 51st St,47.655735,-122.143089,,,19,,,,America/Los_Angeles
73351,148th Ave NE & NE 55th St,47.658283,-122.143448,,,19,,,,America/Los_Angeles
73352,148th Ave NE & NE 55th St,47.658211,-122.143089,,,19,,,,America/Los_Angeles
73366,148th Ave NE & NE 46th St,47.652576,-122.143089,,,19,,,,America/Los_Angeles
73368,148th Ave NE & NE 61st Way,47.662441,-122.143036,,,19,,,,America/Los_Angeles
73380,148th Ave NE & NE 66th St,47.665489,-122.142967,,,19,,,,America/Los_Angeles
73391,148th Ave NE & NE Old Redmond Rd,47.668457,-122.142883,,,19,,,,America/Los_Angeles
73407,NE 40th St & 148th Ave NE,47.645882,-122.141167,,,19,,,,America/Los_Angeles
73410,148th Ave NE & NE Redmond Way,47.674278,-122.142883,,,19,,,,America/Los_Angeles
73412,148th Ave NE & NE 87th St,47.680855,-122.144936,,,19,,,,America/Los_Angeles
73418,NE Redmond Way & 140th Ave NE,47.676804,-122.154633,,,19,,,,America/Los_Angeles
73419,NE 51st St & Sr 520,47.654690,-122.139389,,,19,,,,America/Los_Angeles
73420,NE Redmond Way & 148th Ave NE,47.675072,-122.142601,,,19,,,,America/Los_Angeles
73425,NE Redmond Way & Willows Rd NE,47.674896,-122.136971,,,19,,,,America/Los_Angeles
73430,NE Redmond Way & West Lake Sammamish Pkwy NE,47.673576,-122.134079,,,19,,,,America/Los_Angeles
73432,NE Redmond Way & West Lake Sammamish Way NE,47.673470,-122.133377,,,19,,,,America/Los_Angeles
7350,Stone Way N & N 45th St,47.661221,-122.342262,,,1,,,,America/Los_Angeles
73522,Woodinville Redmond Rd & NE 116th St,47.704174,-122.131821,,,19,,,,America/Los_Angeles
73527,NE 116th St & Woodinville Redmond Rd,47.703907,-122.130470,,,19,,,,America/Los_Angeles
73528,NE 116th St & 158th Ave NE,47.703876,-122.126274,,,19,,,,America/Los_Angeles
73532,Woodinville Redmond Rd & NE 116th St,47.703690,-122.132042,,,19,,,,America/Los_Angeles
73534,Woodinville Redmond Rd & NE 113th Ct,47.701565,-122.132126,,,19,,,,America/Los_Angeles
73539,NE 116th St & 167th Pl NE,47.703793,-122.118561,,,19,,,,America/Los_Angeles
73541,NE 116th St & 169th Ct NE,47.703773,-122.114952,,,19,,,,America/Los_Angeles
73560,166th Ave NE & NE 104th St,47.692478,-122.118477,,,19,,,,America/Los_Angeles
73570,166th Ave NE & NE 100th St,47.689571,-122.118065,,,19,,,,America/Los_Angeles
73590,166th Ave NE & NE 95th St,47.685440,-122.118942,,,19,,,,America/Los_Angeles
7360,Stone Way N & N 43rd St,47.658962,-122.342369,,,1,,,,America/Los_Angeles
73600,166th Ave NE & NE 91st St,47.682903,-122.119240,,,19,,,,America/Los_Angeles
73620,166th Ave NE & NE 87th St,47.680164,-122.119255,,,19,,,,America/Los_Angeles
73625,166th Ave NE & NE 83rd St,47.676998,-122.119278,,,19,,,,America/Los_Angeles
73632,NE 85th St & 164th Ave NE,47.678562,-122.122833,,,19,,,,America/Los_Angeles
73635,164th Ave NE & NE 85th St,47.678646,-122.121498,,,19,,,,America/Los_Angeles
