"","Offense Type","Offense Description","Date Reported","Month","Year","Longitude","Latitude"
"244","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"245","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.329864502,47.67086792
"246","FRAUD-OTHER","Fraud",NA,2,2018,-122.387588501,47.6705513
"247","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.341957092,47.610683441
"248","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.341957092,47.610683441
"249","BURGLARY-FORCE-RES","Burglary",NA,2,2018,-122.341957092,47.610683441
"250","FRAUD-OTHER","Fraud",NA,2,2018,-122.387588501,47.6705513
"251","FRAUD-OTHER","Fraud",NA,2,2018,-122.387588501,47.6705513
"252","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.339256287,47.61051178
"253","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.339256287,47.61051178
"254","THREATS-OTHER","Threats",NA,2,2018,-122.324615479,47.708602905
"255","THREATS-OTHER","Threats",NA,2,2018,-122.324615479,47.708602905
"256","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.333808899,47.612102509
"257","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.333808899,47.612102509
"258","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.333808899,47.612102509
"259","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.280006409,47.654682159
"260","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.280006409,47.654682159
"261","ROBBERY-BUSINESS-BODYFORCE","Robbery",NA,2,2018,-122.300514221,47.599277496
"262","ROBBERY-BUSINESS-BODYFORCE","Robbery",NA,2,2018,-122.300514221,47.599277496
"263","ROBBERY-BUSINESS-BODYFORCE","Robbery",NA,2,2018,-122.300514221,47.599277496
"264","ROBBERY-BUSINESS-BODYFORCE","Robbery",NA,2,2018,-122.300514221,47.599277496
"265","ROBBERY-BUSINESS-BODYFORCE","Robbery",NA,2,2018,-122.300514221,47.599277496
"266","ROBBERY-BUSINESS-BODYFORCE","Robbery",NA,2,2018,-122.300514221,47.599277496
"267","ROBBERY-BUSINESS-BODYFORCE","Robbery",NA,2,2018,-122.300514221,47.599277496
