"","lat","lon","route_id","agency"
"289",47.661236,-122.317291,"Route 44","Metro Transit"
"290",47.667099,-122.361046,"Route 44","Metro Transit"
"291",47.678459,-122.324844,"Route 45","Metro Transit"
"292",47.677383,-122.323875,"Route 45","Metro Transit"
"293",47.675796,-122.321358,"Route 45","Metro Transit"
"294",47.675457,-122.317467,"Route 45","Metro Transit"
"295",47.671848,-122.316971,"Route 45","Metro Transit"
"296",47.677872,-122.323601,"Route 45","Metro Transit"
"297",47.678932,-122.324608,"Route 45","Metro Transit"
"298",47.68853,-122.33651,"Route 45","Metro Transit"
"299",47.687061,-122.336464,"Route 45","Metro Transit"
"300",47.687332,-122.336273,"Route 45","Metro Transit"
"301",47.688904,-122.336319,"Route 45","Metro Transit"
"302",47.690502,-122.391617,"Route 45","Metro Transit"
"303",47.672653,-122.315552,"Route 45","Metro Transit"
"304",47.650547,-122.304283,"Route 45","Metro Transit"
"305",47.652245,-122.311211,"Route 45","Metro Transit"
"306",47.65049,-122.306839,"Route 45","Metro Transit"
"307",47.649727,-122.305817,"Route 45","Metro Transit"
"308",47.652351,-122.311089,"Route 45","Metro Transit"
"309",47.690296,-122.397873,"Route 45","Metro Transit"
"310",47.690498,-122.39653,"Route 45","Metro Transit"
"311",47.690502,-122.394173,"Route 45","Metro Transit"
"312",47.690506,-122.387764,"Route 45","Metro Transit"
"313",47.690517,-122.384018,"Route 45","Metro Transit"
"314",47.690525,-122.381874,"Route 45","Metro Transit"
"315",47.69054,-122.376434,"Route 45","Metro Transit"
"316",47.690571,-122.370033,"Route 45","Metro Transit"
"317",47.690556,-122.360275,"Route 45","Metro Transit"
"318",47.690548,-122.357658,"Route 45","Metro Transit"
"319",47.685478,-122.336563,"Route 45","Metro Transit"
"320",47.683811,-122.334541,"Route 45","Metro Transit"
"321",47.682541,-122.32946,"Route 45","Metro Transit"
"322",47.68148,-122.327354,"Route 45","Metro Transit"
"323",47.670467,-122.312004,"Route 45","Metro Transit"
"324",47.666302,-122.312019,"Route 45","Metro Transit"
"325",47.666607,-122.311813,"Route 45","Metro Transit"
"326",47.670456,-122.311798,"Route 45","Metro Transit"
"327",47.675899,-122.317726,"Route 45","Metro Transit"
"328",47.67593,-122.321167,"Route 45","Metro Transit"
"329",47.681358,-122.326881,"Route 45","Metro Transit"
"330",47.682751,-122.32991,"Route 45","Metro Transit"
"331",47.683937,-122.334435,"Route 45","Metro Transit"
"332",47.685646,-122.336632,"Route 45","Metro Transit"
"333",47.690689,-122.360275,"Route 45","Metro Transit"
"334",47.690723,-122.366653,"Route 45","Metro Transit"
"335",47.6907,-122.371887,"Route 45","Metro Transit"
"336",47.690651,-122.38472,"Route 45","Metro Transit"
"337",47.690685,-122.375343,"Route 45","Metro Transit"
"338",47.690678,-122.377159,"Route 45","Metro Transit"
"339",47.690659,-122.381462,"Route 45","Metro Transit"
"340",47.690647,-122.38797,"Route 45","Metro Transit"
"341",47.69064,-122.390862,"Route 45","Metro Transit"
"342",47.69064,-122.393379,"Route 45","Metro Transit"
"343",47.69064,-122.396301,"Route 45","Metro Transit"
"344",47.665188,-122.312973,"Route 45","Metro Transit"
"345",47.668766,-122.31292,"Route 45","Metro Transit"
"346",47.670876,-122.312927,"Route 45","Metro Transit"
"347",47.670753,-122.313133,"Route 45","Metro Transit"
"348",47.668316,-122.313126,"Route 45","Metro Transit"
"349",47.690586,-122.365471,"Route 45","Metro Transit"
"350",47.690666,-122.355675,"Route 45","Metro Transit"
"351",47.690525,-122.354935,"Route 45","Metro Transit"
"352",47.690506,-122.349609,"Route 45","Metro Transit"
"353",47.690491,-122.344734,"Route 45","Metro Transit"
"354",47.690472,-122.341507,"Route 45","Metro Transit"
